"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
tel,profile,,text,"Study ID",,,,,,y,,,,,,,
langpref,profile,,radio,"Language preferred","fr, French|en, English",,,,,,,y,,,,,
doe,profile,,text,"Date of data entry",,,date_dmy,2023-10-20,,,,y,,,,,
dob,profile,,text,"Date of Birth",,,date_dmy,,,,,y,,,,,
mothers_profile,profile,,descriptive,"<div class=""rich-text-field-label""></div>",,,,,,,,,,,,,
hfac,profile,,text,"2. Health Facility",,,,,,,,y,,,,,
doi,profile,,text,"3. Date of Issue ",,,date_dmy,,,,,y,,,,,
nhisno,profile,,text,"4. NHIS Number",,,number,,,,,y,,,,,
mothn,profile,,text,"5. Mother's Name",,,,,,,,y,,,,,
ustatus,profile,,dropdown,STATUS,"1, Active | 2, Inactive",,,,,,,,,,,,
age,profile,,text,"6. Mother's Age",,,integer,,,,,y,,,,,
community,profile,,text,Community,,,,,,,,y,,,,,
addr,profile,,text,"7. Address",,,,,,,,y,,,,,
lma,profile,,text,"8. Landmark",,,,,,,,y,,,,,
dis,profile,,text,"9. District ",,,,,,,,y,,,,," @DEFAULT='Kintampo North Municipal'"
pin,profile,,text,"10. PIN",,,,,,,,y,,,,,
mstatus,profile,,dropdown,"11. Marital Status","1, Married|4, Not married, but living with a partner (cohabitating)|2, Divorced or permanently separated|3, Single,|5, Never married|6, Widowed",,,,,,,y,,,,,
edul,profile,,dropdown,"12. Educational Level","1, Primary Education|2, Secondary Education|3, Tertiary Education|4, Vocational Education",,,,,,,y,,,,,
occu,profile,,dropdown,"13. Occupation","1, Salaried worker|2, Small business|3, Business owner|4, Skilled labor|5, Unskilled labor|6, Subsistence farming|77, Not applicable/Not working|7, Commercial farming|8, Fishing|9, Housewife",,,,,,,y,,,,,
g6pd,profile,,text,"14. G6PD Status",,,,,,,,y,,,,,
spouse_profile,profile,,descriptive,"<div class=""rich-text-field-label""><h1 style=""text-align: center;""><span style=""color: #e03e2d;"">SPOUSE PROFILE</span></h1> <hr /> <p><span style=""color: #000000;"">15. Name of Spouse: {nos}  </span><span style=""color: #000000;"">                                       </span></p> <hr /> <p><span style=""color: #000000;"">16. Date of birth of Spouse: {dobs}</span></p> <hr /> <p><span style=""color: #000000;"">17. Address of Spouse: {addrs}</span></p> <hr /> <p><span style=""color: #000000;"">18. Landmark: {lmas}</span></p> <hr /> <p><span style=""color: #000000;"">19. District: {diss}</span></p> <hr /> <p><span style=""color: #000000;"">20. Telephone Number of Spouse: {tels}</span></p> <hr /> <p><span style=""color: #000000;"">21. Educational level of Spouse: {eduls}</span></p> <hr /> <p><span style=""color: #000000;"">22. Occupation of Spouse: {occus}</span></p> <hr /> <p> </p></div>",,,,,,,,,,,,,
nos,profile,,text,"14. Name of Spouse",,,alpha_only,,,,,y,,,,,
dobs,profile,,text,"15. Date of Birth",,,date_dmy,,,,,y,,,,,
addrs,profile,,text,"16. Address",,,,,,,,y,,,,,
lmas,profile,,text,"17. Landmark",,,alpha_only,,,,,y,,,,,
diss,profile,,text,"18. District ",,,alpha_only,,,,,y,,,,,
tels,profile,,text,"19. Telephone ",,,number,,,,,y,,,,,
eduls,profile,,dropdown,"20. Educational Level","1, Primary Education|2, Secondary Education|3, Tertiary Education|4, Vocational Education",,,,,,,y,,,,,
occus,profile,,dropdown,"21. Occupation","1, Salaried worker|2, Small business|3, Business owner|4, Skilled labor|5, Unskilled labor|6, Subsistence farming|77, Not applicable/Not working|7, Commercial farming|8, Fishing|9, Housewife",,,,,,,y,,,,,
contactn,profile,"<div class=""rich-text-field-label""><h1 style=""text-align: center;""><span style=""color: #e03e2d;"">EMERGENCY</span></h1></div>",text,"Contact Name",,,,,,,,y,,,,,
contele,profile,,text,"Contact Telephone",,,number,,,,,y,,,,,
socialrf,profile,"<div class=""rich-text-field-label""><h3 style=""text-align: center;""><span style=""color: #e03e2d;"">SOCIAL RISK FACTORS</span></h3></div>",radio,"Social Risk Factors","1, Alcohol|2, Smoking|99, Don't Know",,,,,,,y,,,,,
mh1,medical_history,"MEDICAL HISTORY",radio,Hypertension,"1, Yes|2, No|99, Don't Know",,,,,,,y,,,medics,,
mh2,medical_history,,radio,"Heart Disease","1, Yes|2, No|99, Don't Know",,,,,,,y,,,medics,,
mh3,medical_history,,radio,"Sickle Cell Disease","1, Yes|2, No|99, Don't Know",,,,,,,y,,,medics,,
mh4,medical_history,,radio,Diabetes,"1, Yes|2, No|99, Don't Know",,,,,,,y,,,medics,,
mh5,medical_history,,radio,Epilepsy,"1, Yes|2, No|99, Don't Know",,,,,,,y,,,medics,,
mh6,medical_history,,radio,"HIV Infection","1, Yes|2, No|99, Don't Know",,,,,,,y,,,medics,,
